,GASS ID,σ,S/N,"SCO,obs",,"SCO,cor",,fof f,MH2,MH2/M∗,Flag
101,12293,1.16,7.28,5.44,,7.48,,...,9.43,0.013,1
102,12460,1.04,5.35,2.68,,3.54,,...,9.10,0.013,1
103,12458,1.60,...,...,,...,,...,9.04,0.010,2
104,29842,2.09,13.48,16.86,,42.65,,0.53,9.87,0.118,1
105,23685,2.02,11.12,12.66,,14.79,,...,9.68,0.094,1
106,17865,1.92,9.79,7.14,,9.84,,0.34,9.03,0.056,1
107,29892,1.28,7.70,6.36,,8.86,,...,9.25,0.017,1
108,18202,1.10,...,...,,...,,...,8.51,0.018,2
109,24149,1.08,...,...,,...,,...,8.96,0.043,2
110,30175,1.49,...,...,,...,,...,8.50,0.006,2
111,24168,1.24,4.37,3.16,,4.21,,...,8.63,0.016,1
112,24183,2.12,17.16,17.34,,17.42,,0.20,9.67,0.080,1
113,24741,1.32,9.78,7.62,,9.62,,...,9.53,0.041,1
114,18335,1.20,...,...,,...,,...,9.07,0.016,2
115,18421,1.65,8.16,5.10,,5.93,,...,9.21,0.041,1
116,24094,1.47,6.36,5.66,,7.19,,...,9.29,0.016,1
117,30338,1.18,...,...,,...,,...,9.11,0.015,2
118,18469,1.61,7.51,4.83,,5.42,,...,8.96,0.065,1
119,12970,1.08,...,...,,...,,...,8.96,0.012,2
120,24426,1.47,11.17,6.54,,8.59,,...,9.08,0.090,1
121,12966,1.88,...,...,,...,,...,9.15,0.009,2
122,30479,1.25,...,...,,...,,...,8.66,0.024,2
123,28143,1.27,...,...,,...,,...,8.69,0.024,2
124,30471,2.10,...,...,,...,,...,8.86,0.011,2
125,24366,1.04,...,...,,...,,...,8.86,0.010,2
126,12983,1.03,...,...,,...,,...,9.06,0.011,2
127,28168,1.40,5.99,3.12,,3.18,,...,9.03,0.070,1
128,6506,2.00,15.89,16.92,,21.66,,0.29,9.87,0.128,1
129,13037,0.94,...,...,,...,,...,8.98,0.009,2
130,28461,1.87,...,...,,...,,...,9.26,0.008,2
131,6565,1.05,...,...,,...,,...,9.00,0.013,2
132,6583,1.62,...,...,,...,,...,9.24,0.011,2
133,26822,1.99,16.79,18.66,,27.47,,0.34,9.76,0.054,1
134,40500,1.11,...,...,,...,,...,8.99,0.013,2
135,30508,1.22,...,...,,...,,...,9.09,0.012,2
136,13227,1.58,7.13,5.24,,6.94,,...,9.37,0.014,1
137,40439,2.04,19.33,16.14,,38.85,,0.51,9.85,0.079,1
138,25154,1.89,...,...,,...,,...,9.08,0.009,2
141,40570,2.60,...,...,,...,,...,9.17,0.011,2
142,25214,2.53,...,...,,...,,...,9.13,0.009,2
143,25448,1.58,5.43,2.97,,3.74,,...,9.04,0.023,1
144,25347,1.92,...,...,,...,,...,9.13,0.011,2
145,13512,1.55,3.90,2.35,,2.79,,...,8.69,0.009,1
146,7031,1.19,...,...,,...,,...,8.78,0.015,2
147,35981,0.91,6.60,2.59,,4.19,,...,9.02,0.053,1
148,40317,1.65,...,...,,...,,...,9.10,0.011,2
149,40257,1.85,...,...,,...,,...,9.15,0.010,2
150,40247,2.22,...,...,,...,,...,9.26,0.008,2
151,9301,1.96,8.81,8.94,,10.14,,...,9.50,0.015,1
152,7286,1.41,5.03,3.43,,4.74,,...,8.71,0.010,1
153,38462,2.22,15.24,17.04,,26.99,,0.37,9.43,0.049,1
154,38472,1.19,...,...,,...,,...,8.55,0.023,2
155,38591,1.04,...,...,,...,,...,8.52,0.017,2
156,41323,1.30,...,...,,...,,...,9.07,0.011,2
157,30811,1.68,...,...,,...,,...,9.30,0.010,2
158,9483,2.25,10.44,9.00,,10.58,,...,9.30,0.038,1
159,9514,1.21,3.62,2.31,,2.80,,...,8.48,0.009,1
160,9551,2.19,40.60,53.16,,86.09,,0.19,9.97,0.115,1
161,9814,2.34,13.22,12.72,,16.98,,0.27,9.34,0.029,1
162,9601,2.13,...,...,,...,,...,8.93,0.012,2
163,9917,1.53,...,...,,...,,...,8.71,0.011,2
164,9948,1.56,...,...,,...,,...,8.84,0.014,2
165,38717,2.05,5.74,5.72,,7.00,,...,9.23,0.065,1
166,10019,2.21,11.98,13.26,,24.13,,0.42,9.53,0.072,1
