ID "GASS ID" "SDSS ID" zSDSS M∗ µ∗ D25 R90/R50 NUV−r r col0 σ S/N SCO,obs SCO,cor "fof f" MH2 MH2/M∗ Flag
42 56319 J080322.76+095745.8 0.0345 10.14 8.54 24.4 2.53 4.78 16.7 46 1.17 4.16 2.35 2.58 ... 8.66 0.033 1
43 51563 J080442.30+154632.6 0.0293 10.48 8.84 40.9 2.44 3.13 14.61 47 1.9 10.01 8.70 10.87 ... 9.15 0.047 1
44 56312 J080456.34+102621.0 0.0344 10.1 8.37 36.0 2.33 2.37 15.49 48 1.04 12.08 5.71 6.85 ... 9.08 0.095 1
45 56304 J080534.10+102336.2 0.034 10.89 8.63 65.5 1.79 3.61 14.18 49 1.44 6.77 4.58 6.97 ... 9.08 0.015 1
46 19918 J083846.98+072850.5 0.0462 10.82 8.73 47.4 2.6 3.38 14.76 50 1.29 7.25 5.03 6.62 ... 9.32 0.031 1
47 32308 J083934.43+252837.6 0.0292 10.02 7.93 32.1 1.83 3.52 15.32 51 1.16 7.17 2.02 2.35 ... 8.48 0.029 1
48 52297 J085724.03+204237.9 0.0328 10.49 9.0 35.3 3.03 4.19 15.02 52 1.12 2.96 1.60 1.91 ... 8.49 0.01 1
49 19949 J090011.06+074333.9 0.0289 10.69 8.76 42.7 2.31 3.70 14.19 53 2.1 16.54 15.60 19.75 ... 9.39 0.051 1
50 16695 J090115.64+040705.1 0.0281 10.07 8.09 82.1 2.53 3.18 15.84 54 1.01 ... ... ... ... 8.74 0.047 2
51 25752 J090124.57+101200.6 0.0368 10.56 8.44 43.7 2.25 2.55 14.49 55 2.46 10.30 7.32 7.50 0.21 9.18 0.042 1
52 56612 J090307.74+134149.4 0.029 10.27 9.23 25.3 2.95 5.07 15.28 56 1.14 ... ... ... ... 8.59 0.021 2
53 25763 J090311.24+100907.1 0.0296 10.11 8.28 54.0 2.05 2.20 14.63 57 2.47 15.44 9.06 10.89 0.27 9.16 0.11 1
54 16655 J090439.54+053043.3 0.0334 10.63 8.92 53.5 3.1 3.52 14.45 58 1.06 11.76 6.96 9.61 ... 9.2 0.037 1
55 14712 J091858.06+055318.2 0.0383 10.55 8.34 35.5 1.93 2.47 14.36 59 2.36 24.98 19.50 23.33 ... 9.7 0.143 1
56 57017 J092229.28+142743.3 0.0323 10.54 9.1 38.3 3.08 4.00 16.22 60 1.32 6.95 4.61 5.64 ... 8.94 0.026 1
57 16841 J093136.49+065708.6 0.0318 10.06 8.18 32.4 2.41 2.49 15.28 61 1.83 9.90 5.85 6.83 ... 9.01 0.089 1
58 20133 J093236.58+095025.9 0.0489 10.86 8.73 ... 2.3 ... 14.69 62 1.78 9.11 7.14 7.14 ... 9.4 0.035 1
59 8347 J093858.50+040940.5 0.0463 10.68 9.04 22.6 2.85 6.04 15.28 63 1.11 ... ... ... ... 8.96 0.019 2
60 14784 J093923.27+062405.9 0.0318 11.07 9.14 56.1 2.9 3.78 13.59 64 1.41 6.70 5.83 8.22 ... 9.09 0.01 1
61 8349 J093953.62+034850.2 0.0285 10.36 8.92 38.2 2.93 4.73 15.61 65 1.21 14.75 8.52 10.41 ... 9.1 0.055 1
62 26056 J095007.20+124446.0 0.0296 10.11 8.06 48.2 2.09 2.40 14.69 66 1.58 8.09 5.80 7.67 ... 9.0 0.077 1
63 18702 J095051.58+081340.7 0.0299 10.2 8.71 30.2 2.2 3.84 15.71 67 1.27 9.02 6.48 7.44 ... 9.0 0.062 1
64 18673 J095301.79+072736.4 0.0385 10.38 8.97 21.2 2.27 3.04 15.32 68 2.01 13.17 12.18 13.04 ... 9.46 0.119 1
65 18686 J095302.62+075029.3 0.0411 10.55 8.48 38.0 2.1 2.99 14.88 71 1.38 11.82 8.10 9.88 ... 9.39 0.069 1
66 20292 J095349.23+091137.6 0.0299 10.67 9.02 31.3 2.41 4.47 14.38 72 1.44 6.88 6.48 7.50 ... 9.0 0.021 1
67 20286 J095439.45+092640.7 0.0346 10.53 8.89 33.8 2.63 4.11 15.74 73 1.91 9.83 11.70 13.82 ... 9.39 0.072 1
68 14831 J100530.26+054019.4 0.0444 11.21 9.13 51.2 2.72 4.25 14.59 74 2.19 7.80 9.90 13.43 ... 9.59 0.024 1
69 14943 J101600.20+061505.2 0.0458 11.33 9.23 56.7 3.37 6.44 13.74 75 1.9 ... ... ... ... 9.3 0.009 2
70 26221 J101638.39+123438.5 0.0317 10.98 8.88 75.4 2.6 3.71 13.99 76 2.78 25.33 41.46 77.19 0.43 10.06 0.12 1
71 26368 J101941.29+125034.7 0.0329 10.27 8.53 57.3 2.84 3.07 15.67 77 1.85 10.25 9.54 13.59 ... 9.34 0.119 1
72 18900 J102001.61+083053.6 0.0453 10.92 9.28 33.6 3.16 5.39 14.63 78 1.2 ... ... ... ... 9.01 0.012 2
