ID "GASS ID" "SDSS ID" zSDSS M∗ µ∗ D25 R90/R50 NUV−r r col0 σ S/N SCO,obs SCO,cor "fof f" MH2 MH2/M∗ Flag
175 39567 J152747.42+093729.6 0.0312 10.57 9.22 37.1 3.11 3.84 14.93 183 1.67 7.94 7.38 8.94 ... 9.11 0.035 1
176 26958 J154654.33+055328.3 0.0419 11.26 9.1 71.2 3.09 4.71 13.52 184 2.19 20.61 30.72 33.42 0.23 9.94 0.048 1
177 47221 J154902.67+175625.5 0.0318 10.54 8.72 34.8 2.19 3.05 14.62 185 1.38 8.94 5.51 6.55 ... 9.0 0.029 1
178 42402 J155125.21+254539.0 0.046 11.03 8.78 63.8 2.71 4.18 14.47 186 1.16 4.09 2.93 4.40 ... 9.13 0.013 1
179 31156 J155752.01+041544.3 0.0258 10.68 9.05 44.6 2.97 5.76 14.08 187 2.34 ... ... ... ... 8.76 0.012 2
180 29487 J155754.56+092435.7 0.0428 11.17 9.26 40.9 3.15 5.56 14.06 188 2.29 2.26 2.08 2.59 ... 8.84 0.005 1
181 10817 J220120.93+121148.1 0.0291 10.61 9.33 39.5 3.31 6.34 14.55 189 1.31 ... ... ... ... 8.7 0.012 2
182 10827 J220147.39+131228.5 0.0301 10.11 8.81 22.2 2.75 6.50 15.65 190 1.15 ... ... ... ... 8.61 0.032 2
183 10831 J220322.59+123857.6 0.0273 10.46 9.05 35.0 2.73 5.00 14.79 191 1.14 5.47 3.35 3.99 ... 8.65 0.015 1
184 10813 J220358.03+115421.2 0.0268 10.55 9.11 29.4 3.07 5.47 14.61 192 1.28 ... ... ... ... 8.58 0.011 2
185 10836 J220419.41+125806.2 0.0274 10.69 9.27 51.3 3.28 6.28 14.28 193 1.28 ... ... ... ... 8.68 0.01 2
186 10850 J220538.79+122521.3 0.0355 10.28 8.69 27.5 2.39 4.00 15.75 194 1.15 7.23 3.79 4.26 ... 8.9 0.042 1
187 10841 J221111.69+114802.6 0.027 10.36 9.05 32.0 2.76 3.68 14.65 195 0.99 11.46 5.77 6.72 ... 8.87 0.032 1
188 10885 J221212.48+121218.6 0.0275 10.04 8.49 27.5 2.11 2.51 14.83 196 2.15 12.15 10.38 11.66 ... 9.12 0.121 1
189 10889 J221236.07+140103.9 0.0266 10.45 9.14 34.8 3.37 5.15 14.83 197 1.16 ... ... ... ... 8.54 0.012 2
190 10844 J221253.09+122158.7 0.0271 10.16 9.1 22.0 2.89 5.62 15.35 198 1.16 ... ... ... ... 8.34 0.015 2
191 10872 J221321.50+132611.3 0.0281 10.48 8.81 33.5 2.73 5.15 14.76 199 1.1 ... ... ... ... 8.57 0.012 2
192 10884 J221430.63+130444.9 0.0257 10.47 9.04 47.5 2.93 5.97 14.83 200 1.23 ... ... ... ... 8.59 0.013 2
193 10942 J221530.28+134023.4 0.0251 10.04 9.06 21.6 3.26 5.54 15.43 201 1.13 ... ... ... ... 8.45 0.025 2
194 10943 J221540.59+133616.9 0.0275 10.23 8.71 32.2 2.4 5.00 15.16 202 1.35 6.79 3.76 4.39 ... 8.7 0.03 1
195 10944 J221543.66+134252.3 0.0262 10.05 9.28 25.1 3.24 5.51 15.44 203 1.02 ... ... ... ... 8.45 0.025 2
196 10950 J221559.51+132715.3 0.0254 10.21 9.43 19.1 2.68 5.65 15.17 204 1.25 ... ... ... ... 8.49 0.019 2
197 10949 J221600.51+130851.8 0.0262 10.33 9.21 39.8 3.36 5.43 14.79 205 1.18 ... ... ... ... 8.56 0.017 2
198 10948 J221636.89+131514.4 0.0258 10.02 8.65 30.9 2.5 4.82 15.81 206 1.1 5.84 2.89 3.34 ... 8.53 0.032 1
199 10952 J221657.95+133235.0 0.0262 10.47 8.97 47.2 2.58 7.13 15.06 207 1.41 7.30 5.39 7.07 ... 8.86 0.025 1
200 11016 J223619.86+141852.3 0.0375 10.25 8.83 22.3 3.21 4.63 15.9 208 1.15 ... ... ... ... 8.83 0.039 2
201 11015 J223701.58+142417.4 0.0367 10.76 8.93 44.3 3.11 5.51 14.63 211 1.15 ... ... ... ... 8.96 0.016 2
202 11086 J225524.42+131453.8 0.0329 10.43 9.08 32.0 2.87 4.26 15.2 212 1.17 ... ... ... ... 8.73 0.02 2
203 11087 J225525.96+125539.3 0.0376 10.88 9.16 42.9 3.05 5.28 14.86 213 1.42 ... ... ... ... 8.96 0.012 2
204 11071 J225726.69+130005.9 0.0257 10.56 8.7 46.7 2.39 4.40 14.27 214 1.38 6.45 3.60 4.71 ... 8.67 0.013 1
205 11126 J230111.07+130932.5 0.0484 10.75 8.71 29.2 2.39 3.66 14.96 215 0.99 ... ... ... ... 8.98 0.017 2
206 11112 J230240.30+131944.6 0.0277 10.81 9.02 51.5 2.58 3.34 13.55 216 2.64 24.66 36.00 60.74 0.20 9.84 0.107 1
207 11120 J230343.06+135535.5 0.0271 10.4 8.99 38.6 2.64 3.49 14.54 217 2.02 8.44 8.46 10.37 ... 9.06 0.045 1
208 11311 J231229.22+135632.1 0.0341 10.91 9.11 52.4 2.76 4.48 14.35 218 1.77 13.03 13.26 22.77 0.40 9.6 0.048 1
209 11298 J231330.39+140350.0 0.0394 10.1 8.29 36.7 2.61 3.88 16.6 219 1.17 7.41 4.82 5.83 ... 9.13 0.106 1
210 11295 J231334.71+135912.3 0.0398 11.09 8.95 75.3 3.07 4.72 14.29 220 1.38 12.51 11.34 18.72 ... 9.64 0.035 1
211 1977 J231815.66+001540.2 0.0298 10.78 8.75 66.2 2.24 3.35 14.07 221 1.93 13.89 13.62 24.31 0.21 9.51 0.054 1
212 11270 J231816.95+133426.6 0.0395 10.07 8.69 21.1 2.88 3.91 16.23 222 1.18 6.47 2.02 2.16 ... 8.7 0.042 1
213 11349 J231836.21+151758.7 0.0256 10.13 8.47 39.3 2.19 2.88 14.76 223 1.64 15.05 10.08 12.43 ... 9.09 0.091 1
214 11437 J232215.37+140450.6 0.0264 10.56 8.99 48.3 2.72 3.83 14.54 224 1.26 7.58 4.81 6.37 ... 8.82 0.018 1
215 11408 J232227.40+134857.1 0.026 10.05 8.22 45.4 2.2 2.53 14.8 225 2.17 18.47 8.04 10.40 ... 9.03 0.094 1
216 11513 J232239.48+154405.3 0.0411 10.62 8.68 24.0 2.16 4.53 15.31 226 1.16 2.68 1.50 1.64 ... 8.61 0.01 1
217 11514 J232326.53+152510.4 0.0428 10.27 9.16 19.6 2.98 4.27 16.26 227 1.13 4.33 2.77 2.93 ... 8.9 0.043 1
218 11386 J232611.29+140148.1 0.0462 10.56 9.08 25.7 3.46 4.69 15.77 228 1.17 ... ... ... ... 8.99 0.027 2
219 11808 J235257.31+154244.8 0.0479 10.78 8.69 36.0 2.61 4.97 14.97 229 1.11 7.87 4.76 5.71 ... 9.28 0.032 1
220 11845 J235644.47+135435.4 0.0363 10.6 8.65 42.5 2.47 4.10 14.98 230 1.72 20.57 17.28 17.28 0.14 9.53 0.085 1
221 11824 J235747.57+153649.2 0.038 10.25 8.05 39.1 2.23 3.24 15.45 231 1.08 4.53 2.29 2.82 ... 8.78 0.034 1
