,GASS ID,SDSS ID,zSDSS,M∗,µ∗,D25,R90/R50,NUV−r,r
0,,,Table 1: Optical and UV parameters of the COLD GASS galaxies,,,,,,
74,14943,J101600.20+061505.2,0.0458,11.33,9.23,56.7,3.37,6.44,13.74
75,26221,J101638.39+123438.5,0.0317,10.98,8.88,75.4,2.60,3.71,13.99
76,26368,J101941.29+125034.7,0.0329,10.27,8.53,57.3,2.84,3.07,15.67
77,18900,J102001.61+083053.6,0.0453,10.92,9.28,33.6,3.16,5.39,14.63
78,26311,J102309.58+121422.2,0.0448,11.13,8.90,67.9,3.08,4.71,14.33
79,22999,J102316.42+115120.4,0.0455,10.64,8.62,36.7,2.10,3.79,15.45
80,26602,J103347.41+124358.1,0.0325,10.74,9.20,43.1,3.21,6.40,14.55
81,15181,J104002.96+060114.0,0.0468,11.18,8.73,67.1,2.94,4.78,14.94
82,15166,J104121.14+061644.3,0.0339,10.02,8.10,34.3,2.07,2.35,15.33
83,29555,J104145.56+135352.9,0.0316,10.38,8.88,33.6,3.11,4.55,14.94
84,23315,J104200.74+114648.0,0.0329,10.45,9.05,24.7,2.50,4.34,15.05
85,8914,J104402.21+043946.8,0.0266,10.42,8.50,40.5,2.00,2.76,14.25
86,29596,J104702.82+141548.0,0.0324,10.68,9.01,42.5,3.01,5.29,14.45
87,15257,J104805.79+060114.4,0.0288,10.09,8.94,19.7,2.75,5.45,15.74
88,23408,J105322.36+111050.4,0.0430,11.04,8.84,55.6,3.19,5.53,14.20
89,23450,J105648.58+120535.7,0.0476,10.81,9.24,25.4,3.13,5.51,15.18
90,23453,J105800.29+115913.6,0.0348,10.12,8.08,...,1.90,...,15.01
91,17659,J105807.59+091633.9,0.0344,11.17,9.23,59.5,3.16,5.61,13.66
92,17640,J105929.94+084233.1,0.0349,11.04,9.18,54.6,3.08,5.61,14.50
93,5442,J110032.51+020657.8,0.0394,11.10,8.62,61.0,1.75,2.99,13.95
94,17684,J110037.27+102613.9,0.0361,11.08,9.04,45.7,2.47,6.05,14.13
95,29624,J110050.33+133551.4,0.0340,10.32,8.59,38.9,2.49,4.17,15.91
96,29699,J110818.34+131327.5,0.0340,11.01,8.92,59.2,3.35,5.15,14.11
97,12371,J111306.40+051403.0,0.0432,10.80,8.89,40.6,2.89,3.34,14.72
98,12318,J111443.35+040128.2,0.0417,11.21,9.23,53.1,3.28,5.60,13.88
